config_key,group,seg_vlm,selector,topk,n_face,n_edge,face_iou,face_prec,face_rec,face_f1,edge_iou,edge_prec,edge_rec,edge_f1
mvgel::Vanilla_LISA::cliplora_cross_attention::top1,mvgel_vnms0,Vanilla_LISA,cliplora_cross_attention,1.0,655,880,0.2915008828399079,0.33746943361936266,0.6519112285646874,0.3899802774181244,0.04286241349848264,0.048358371147788175,0.493840812199225,0.07443597332416914
mvgel::Vanilla_LISA::cliplora_cross_attention::top3,mvgel_vnms0,Vanilla_LISA,cliplora_cross_attention,3.0,655,880,0.25929809358530653,0.2863048046690125,0.7632970840890532,0.3635879090647411,0.03911911453542409,0.04126346040439283,0.6674433386290115,0.07010350519296507
mvgel::Vanilla_LISA::cliplora_cross_attention::top5,mvgel_vnms0,Vanilla_LISA,cliplora_cross_attention,5.0,655,880,0.24611327579202505,0.26236068359055836,0.822283303546488,0.3471974839833888,0.035063617975443565,0.03638214482156608,0.7413086244740079,0.0635407265266707
mvgel::Vanilla_LISA::cliplora_film::top1,mvgel_vnms0,Vanilla_LISA,cliplora_film,1.0,655,880,0.29341684056614115,0.34164448566428957,0.6469233741618697,0.39121858405439347,0.04592091031786122,0.05324777192671231,0.5025759875331944,0.07854298528174872
mvgel::Vanilla_LISA::cliplora_film::top3,mvgel_vnms0,Vanilla_LISA,cliplora_film,3.0,655,880,0.26397601375815444,0.29444382559543464,0.766289033825673,0.369174939765344,0.04052367905508968,0.043182472545722266,0.6708334625416436,0.071892235553986
mvgel::Vanilla_LISA::cliplora_film::top5,mvgel_vnms0,Vanilla_LISA,cliplora_film,5.0,655,880,0.24627726733930905,0.2647001752690487,0.8212984206818897,0.34901839305525306,0.03707547300958593,0.03838449992698192,0.7456583710781296,0.06640655341115537
mvgel::Vanilla_LISA::cliplora_no_fusion::top1,mvgel_vnms0,Vanilla_LISA,cliplora_no_fusion,1.0,655,880,0.2927604780426422,0.3383749561446795,0.6470243857230396,0.3888937577314507,0.044460836850418045,0.04866602416706367,0.5019132107534912,0.07670618101892904
mvgel::Vanilla_LISA::cliplora_no_fusion::top3,mvgel_vnms0,Vanilla_LISA,cliplora_no_fusion,3.0,655,880,0.26457022971304595,0.29073448236587207,0.7670811915819284,0.3686948451904197,0.03947470600170929,0.041382614873780366,0.6599040092328976,0.07033931647657157
mvgel::Vanilla_LISA::cliplora_no_fusion::top5,mvgel_vnms0,Vanilla_LISA,cliplora_no_fusion,5.0,655,880,0.24582125830662646,0.2651672023133181,0.8195154970940458,0.34894370378449185,0.03435903298318691,0.03524150316893339,0.7390169430431699,0.06242778856770577
mvgel::Vanilla_LISA::cliplora_only_clip::top1,mvgel_vnms0,Vanilla_LISA,cliplora_only_clip,1.0,655,880,0.20062125711729772,0.23947239872603185,0.4604622179381159,0.2717725638761544,0.03485338447462774,0.03923931859773828,0.3876026480207147,0.06057683775188107
mvgel::Vanilla_LISA::cliplora_only_clip::top3,mvgel_vnms0,Vanilla_LISA,cliplora_only_clip,3.0,655,880,0.2061118503941955,0.2253226014056366,0.6385246998269027,0.2909755955667219,0.03156986357001591,0.03607418035578467,0.5739551982616498,0.05717740255993549
mvgel::Vanilla_LISA::cliplora_only_clip::top5,mvgel_vnms0,Vanilla_LISA,cliplora_only_clip,5.0,655,880,0.20475216138523403,0.21802113971906895,0.7263941502598408,0.2931801299342081,0.029432449442397618,0.031668065999099534,0.6707627792644107,0.054059014583480045
mvgel::Vanilla_LISA::random::top1,mvgel_vnms0,Vanilla_LISA,random,1.0,655,880,0.122324225893988,0.1593001630040548,0.2867838172546558,0.1738969175170863,0.027701906830028968,0.03355367660096593,0.2610856515258347,0.04629701069418692
mvgel::Vanilla_LISA::random::top3,mvgel_vnms0,Vanilla_LISA,random,3.0,655,880,0.16488225548887694,0.17806445800161175,0.6073292872004423,0.23928571157309092,0.023911931245321445,0.02537561585220703,0.5153634508312909,0.0437107690267772
mvgel::Vanilla_LISA::random::top5,mvgel_vnms0,Vanilla_LISA,random,5.0,655,880,0.17084306917199116,0.17688082561554774,0.7440966474484885,0.2518949014998794,0.02116794073163928,0.021631570047184308,0.6384339973268714,0.03926985689270584
mvgel::Vanilla_LISA::GT::top1,mvgel_vnms0,Vanilla_LISA,GT,1.0,655,880,0.2998764025498712,0.3391557145314059,0.6432036475062314,0.39266001513361354,0.0415210148012269,0.04587187587883202,0.48241140891090895,0.07220497699869842
mvgel::Vanilla_LISA::GT::top3,mvgel_vnms0,Vanilla_LISA,GT,3.0,655,880,0.2575641508982441,0.2789306189882477,0.7871455505529555,0.35888940672478153,0.039570840285789825,0.04084675024012228,0.6823089754493498,0.07027297062553858
mvgel::Vanilla_LISA::GT::top5,mvgel_vnms0,Vanilla_LISA,GT,5.0,655,880,0.24384964537636997,0.25701354283261346,0.845086237850917,0.3428001166063014,0.035978473128305426,0.03715555826397852,0.746957112729623,0.0643713272104534
gttarget::CAD_LISA::top1,mvgel_gttarget,CAD_LISA,GT,1.0,655,880,0.529075469808248,0.6186950869623319,0.7443638902814176,0.6320163928456828,0.31065846381365086,0.35516553380323157,0.597880099592784,0.39019479563915704
gttarget::Vanilla_LISA::top1,mvgel_gttarget,Vanilla_LISA,GT,1.0,655,880,0.29316611950703414,0.3396373575680598,0.6452958351705127,0.38945526550942,0.04555293039676529,0.05103675347010881,0.5101415364000645,0.07879705815364461
vnms1::CAD_LISA::film::top3,mvgel_vnms1,CAD_LISA,cliplora_film,3.0,655,880,0.3717856060647953,0.40017125490359867,0.8464350159971766,0.49475054782449346,0.17952533431552506,0.1937611420525963,0.6946214879681805,0.2656762171168257
